Distribuidora||Original|Regex|Date
Light|60|@lightclientes||2021-02-01 04:11:07
Light|61|@lightclientes||2021-02-01 04:10:56
Light|62|@lightclientes||2021-02-01 04:10:29
Light|63|@GxJesux @lightclientes||2021-02-01 04:10:12
Light|64|@lightclientes||2021-02-01 04:09:59
Light|65|@lightclientes||2021-02-01 04:09:51
Light|66|"a @lightclientes fica 2 dias fazendo manutenção na minha rua, pra chegar de madrugada e a luz ficar piscando.
Parabéns pelo o serviço porco 👏🏻👏🏻"|a fica 2 dias fazendo manutenção na minha rua, pra chegar de madrugada e a luz ficar piscando. Parabéns pelo o serviço porco 👏🏻👏🏻|2021-02-01 04:09:51
Light|67|@lightclientes||2021-02-01 04:09:41
Light|68|@lightclientes||2021-02-01 04:09:34
Light|69|@lightclientes||2021-02-01 04:09:29
Light|70|@laaisa @josinmf Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:09:27
Light|71|@lightclientes||2021-02-01 04:09:23
Light|72|@lightclientes  sem #luz 410042801|sem 410042801|2021-02-01 04:09:12
Light|73|@lightclientes||2021-02-01 04:09:11
Light|74|@lightclientes sem #luz 410042801|sem 410042801|2021-02-01 04:09:05
Light|75|"@josinmf @lightclientes Aí tem luz? Na principal ta sem 
Piscou mas caiu dnv"|Aí tem luz? Na principal ta sem Piscou mas caiu dnv|2021-02-01 04:08:11
Light|76|@lightclientes infelizmente eu não sei o número de instalação, sabe q horas a luz vai voltar?|infelizmente eu não sei o número de instalação, sabe q horas a luz vai voltar?|2021-02-01 04:08:04
Light|77|@lightclientes sem #luz e vcs não respondem o DM|sem e vcs não respondem o DM|2021-02-01 04:06:34
Light|78|@lightclientes sem #luz 410042801 e vcs não respondem o DM|sem 410042801 e vcs não respondem o DM|2021-02-01 04:06:21
Light|79|@lightclientes tem condições de voltar a luz na Pavuna, tá muito calorrrrr|tem condições de voltar a luz na Pavuna, tá muito calorrrrr|2021-02-01 04:05:56
Light|80|@DjGasparzinhoRJ Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 04:05:50
Light|81|@lightclientes @goldenliningup Sem #luz 410042801|Sem 410042801|2021-02-01 04:05:31
Light|82|@lightclientes sua família n te ama|sua família n te ama|2021-02-01 04:05:28
Light|83|Tenho medicamento que necessita de resfriamento! Tenho idosos em casa! Atenção @lightclientes ! Moro em Pavuna!|Tenho medicamento que necessita de resfriamento! Tenho idosos em casa! Atenção ! Moro em Pavuna!|2021-02-01 04:05:19
Light|84|@lightclientes @GxJesux Sem luz 410042801|Sem luz 410042801|2021-02-01 04:04:44
Light|85|@lightclientes @GxJesux Já que vcs ficam no robô da resposta vou ficar também, não tem luz mesmo pra dormi|Já que vcs ficam no robô da resposta vou ficar também, não tem luz mesmo pra dormi|2021-02-01 04:04:29
Light|86|Atenção @lightclientes , sem energia na Pavuna! CEP 21.520-030|Atenção , sem energia na Pavuna! CEP 21.520-030|2021-02-01 04:03:34
Light|87|EZN na Pavuna sem luz querida light, minha conta está dia, cadê a luz?@lightclientes|EZN na Pavuna sem luz querida light, minha conta está dia, cadê a luz?|2021-02-01 04:02:36
Light|88|@O_Rv1898 @lightclientes||2021-02-01 04:02:13
Light|89|@lightclientes Já foi feito e nada de resposta de vcs, até pelo mensager já foi enviado e vcs não respondem|Já foi feito e nada de resposta de vcs, até pelo mensager já foi enviado e vcs não respondem|2021-02-01 04:01:45
Light|90|@goldenliningup @lightclientes E aí @lightclientes aqui na Pavuna está sem luz já fiz isso aí que vcs adoram copiar e colar mas responder alguma coisa viável nada código 410042801|E aí aqui na Pavuna está sem luz já fiz isso aí que vcs adoram copiar e colar mas responder alguma coisa viável nada código 410042801|2021-02-01 04:00:32
Light|91|@lightclientes @umbrvinicius E óbvio que não está tudo bem né, palhaçada aí o código que vcs adoram pedir 410042801 Pavuna|E óbvio que não está tudo bem né, palhaçada aí o código que vcs adoram pedir 410042801 Pavuna|2021-02-01 03:59:09
Light|92|@lightclientes @GxJesux 410042801 Pavuna sem luz 😡|410042801 Pavuna sem luz 😡|2021-02-01 03:57:39
Light|93|@laaisa @lightclientes Bem que eu escutei um estrondo daqui hahaha|Bem que eu escutei um estrondo daqui hahaha|2021-02-01 03:57:32
Light|94|@lightclientes Não não tá olha o calor que tá fazendo|Não não tá olha o calor que tá fazendo|2021-02-01 03:56:02
Light|95|@goldenliningup Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 03:55:56
Light|96|@Nathjoiaas Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 03:55:24
Light|97|@lightclientes vc poderia fazer a luz voltar por favor|vc poderia fazer a luz voltar por favor|2021-02-01 03:50:52
Light|98|@lightclientes sem #luz na Pavuna 410042801😡|sem na Pavuna 410042801😡|2021-02-01 03:49:32
Light|99|@lightclientes pelo amor de deus tá muito quente volta com a luz|pelo amor de deus tá muito quente volta com a luz|2021-02-01 03:48:50
Light|100|eai @lightclientes um calor do caralho e sem energia porra que isso|eai um calor do caralho e sem energia porra que isso|2021-02-01 03:48:31
Light|101|@lightclientes koe podem restabelecer a luz por favor|koe podem restabelecer a luz por favor|2021-02-01 03:46:54
Light|102|POR DEUS DEU UM APAGÃO FODIDO AQUI NA PAVUNA RJ ESTOUROU O TRANSFORMADOR SOCORRO @lightclientes TA CALOR DEMAIS PRA FICAR SEM LUZ|POR DEUS DEU UM APAGÃO FODIDO AQUI NA PAVUNA RJ ESTOUROU O TRANSFORMADOR SOCORRO TA CALOR DEMAIS PRA FICAR SEM LUZ|2021-02-01 03:46:34
Light|103|"E pra acabar com o resto do meu domingo. 
@lightclientes  cadê a luz?"|E pra acabar com o resto do meu domingo. cadê a luz?|2021-02-01 03:42:55
Light|104|CADÊ A P**** DA LUZ @lightclientes um calor do cão vocês tão de sacanagem!!!!!|CADÊ A P**** DA LUZ um calor do cão vocês tão de sacanagem!!!!!|2021-02-01 03:42:31
Light|105|@lightclientes UM MÊS CAINDO LUZ TODO DIA!!! O Q Q TÁ ACONTECENDO??? SOCORRO!! MAIS UMA NOITE NÃO DORMINDO POR CAUSA DE APAGÃO!!! TÔ COM UMA SENHORA ACAMADA EM CASA!!! @Prefeitura_Rio @GovRJ @subcentrorio|UM MÊS CAINDO LUZ TODO DIA!!! O Q Q TÁ ACONTECENDO??? SOCORRO!! MAIS UMA NOITE NÃO DORMINDO POR CAUSA DE APAGÃO!!! TÔ COM UMA SENHORA ACAMADA EM CASA!!!|2021-02-01 03:33:30
Light|106|"@lightclientes @titivascao @lightclientes  Que resposta desgraçada é essa que vcs dão??? ""Bem"" qlqr um estaria se vocês não estivessem fazendo um serviço, no mínimo, lamentável. É
Isso é tirar sarro do consumidor!"|"Que resposta desgraçada é essa que vcs dão??? ""Bem"" qlqr um estaria se vocês não estivessem fazendo um serviço, no mínimo, lamentável. É Isso é tirar sarro do consumidor!"|2021-02-01 03:22:19
Light|107|"@lightclientes @eurenesilva @kassimentz Estamos sem luz na Rua do Governo No Barata em Realengo #luz urgente
Muito mosquito por aqui..."|Estamos sem luz na Rua do Governo No Barata em Realengo urgente Muito mosquito por aqui...|2021-02-01 03:21:32
Light|108|RT @eurenesilva: #Urgente Subestação da @lightclientes de Botafogo tá pegando fogo! Moradores do Morro Santa Marta também estão sem luz, al…|Subestação da de Botafogo tá pegando fogo! Moradores do Morro Santa Marta também estão sem luz, al…|2021-02-01 03:14:56
Light|109|"E estarei atenta ao desconto dessa gracinha toda na ""taxa de distribuição"" de vocês. @lightclientes"|"E estarei atenta ao desconto dessa gracinha toda na ""taxa de distribuição"" de vocês."|2021-02-01 03:07:19
Light|110|VAI TOMAR NO CU, @lightclientes. Todo dia no mesmo horário|VAI TOMAR NO CU, Todo dia no mesmo horário|2021-02-01 03:06:41
Light|111|"@jorgejjm Olá, bom dia. Espero que esteja tudo bem com você.
Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|2021-02-01 03:05:46
Light|112|@lightclientes mais de seis horas no calor do rio de Janeiro SEM ENERGIA!!! É comida que ta pra perder. É minha saúde que tá mal. CADÊ A LUZ?? 🤬|mais de seis horas no calor do rio de Janeiro SEM ENERGIA!!! É comida que ta pra perder. É minha saúde que tá mal. CADÊ A LUZ?? 🤬|2021-02-01 03:05:41
Light|113|@lightclientes segunda queixa pública do dia. Parabéns pelo prêmio de empresa do descaso! Cadê a minha luz??? 🤬 https://t.co/A4LavfFMgR|segunda queixa pública do dia. Parabéns pelo prêmio de empresa do descaso! Cadê a minha luz??? 🤬|2021-02-01 03:01:59
Light|114|@lightclientes mais uma noite sem luz pelo quinto dia consecutivo, gostaria de saber até quando vai isso. Só em Janeiro foram 11 quedas de energia. E não eu não estou bem nesse calor. Ja enviei o codigo na dm e estou aguardando. Ontem voltou 2 da manhã, ante ontem 3 da manha..|mais uma noite sem luz pelo quinto dia consecutivo, gostaria de saber até quando vai isso. Só em Janeiro foram 11 quedas de energia. E não eu não estou bem nesse calor. Ja enviei o codigo na dm e estou aguardando. Ontem voltou 2 da manhã, ante ontem 3 da manha..|2021-02-01 02:51:25
Light|115|@lightclientes Hj novamente|Hj novamente|2021-02-01 02:51:24
Light|116|@lightclientes Mais um dia sem luz , gente está uma vergonha|Mais um dia sem luz , gente está uma vergonha|2021-02-01 02:51:14
Light|117|@lightclientes CADE MINHA LUZ CACETE TA FAZENDO 60 GRAUS PELO AMOR DE DEUS https://t.co/1Fm9Ili1vR|CADE MINHA LUZ CACETE TA FAZENDO 60 GRAUS PELO AMOR DE DEUS|2021-02-01 02:45:18
Light|118|RT @jorgejjm: Hoje faltou luz mais cedo nem esperou dar meia noite @lightclientes código do cliente : 33412789 Rua da Jangada  , código de instalação : 430176160|Hoje faltou luz mais cedo nem esperou dar meia noite código do cliente : 33412789 Rua da Jangada , código de instalação : 430176160|2021-02-01 02:17:22
Light|119|Hoje faltou luz mais cedo nem esperou dar meia noite @lightclientes código do cliente : 33412789 Rua da Jangada  , código de instalação : 430176160|Hoje faltou luz mais cedo nem esperou dar meia noite código do cliente : 33412789 Rua da Jangada , código de instalação : 430176160|2021-02-01 02:16:46
Light|120|sem luz nesse inferno de calor obrigada @lightclientes|sem luz nesse inferno de calor obrigada|2021-02-01 02:13:17
Light|121|@lightclientes já mandei as informações|já mandei as informações|2021-02-01 02:09:41
Light|122|Todo dia essa porra agora? @lightclientes cadê minha luz? O problema não vai ser resolvido? Teremos que ir buscar a solução na justiça?|Todo dia essa porra agora? cadê minha luz? O problema não vai ser resolvido? Teremos que ir buscar a solução na justiça?|2021-02-01 02:07:12
Light|123|@lightclientes Todo dia eu te mando! Alguma coisa da pra providenciar?|Todo dia eu te mando! Alguma coisa da pra providenciar?|2021-02-01 01:50:59
Light|124|@lightclientes Não tá né?! Todo dia que cai a luz, não dá pra dormir nem pra fazer nada de 22h até 01h.|Não tá né?! Todo dia que cai a luz, não dá pra dormir nem pra fazer nada de 22h até 01h.|2021-02-01 01:50:16
Light|125|No momento tô trabalhando só pra repassar meu dinheiro pra @lightclientes e ainda assim, de vez em quando, a safada me deixa sem luz. https://t.co/UHyZCbbCSY|No momento tô trabalhando só pra repassar meu dinheiro pra e ainda assim, de vez em quando, a safada me deixa sem luz.|2021-02-01 01:47:23
Light|126|Alô @lightclientes mais um dia de caída de luz. Realmente espero que nenhum eletrodoméstico queime. Pq tá complicado.|Alô mais um dia de caída de luz. Realmente espero que nenhum eletrodoméstico queime. Pq tá complicado.|2021-02-01 01:45:59
Light|127|serviço da @lightclientes é horrível pqp|serviço da é horrível pqp|2021-02-01 01:45:28
Light|128|vai tomar no cu @lightclientes mais uma madruga sem luz|vai tomar no cu mais uma madruga sem luz|2021-02-01 01:31:37
Light|129|@lightclientes Alô @lightclientes ,estou sem luz nesse calor !|Alô ,estou sem luz nesse calor !|2021-02-01 01:28:30
Light|130|Mais uma vez sem luz tá feliz? @lightclientes|Mais uma vez sem luz tá feliz?|2021-02-01 01:28:00
Light|131|@lightclientes Onde há solicitação referente a falta de luz? Trabalhem direito! Ah! Esqueci, não conseguem...|Onde há solicitação referente a falta de luz? Trabalhem direito! Ah! Esqueci, não conseguem...|2021-02-01 01:23:35
Light|132|@lightclientes Bem não to ta sem luz|Bem não to ta sem luz|2021-02-01 01:23:08
Light|133|Todo dia agora falta luz @lightclientes tá osso.|Todo dia agora falta luz tá osso.|2021-02-01 01:19:11
Light|134|Padrão de qualidade @lightclientes https://t.co/WWVA2XaOFD|Padrão de qualidade|2021-02-01 01:15:36
Light|135|@lightclientes Rua TAGIPURU,110. Vigario geral|Rua TAGIPURU,110. Vigario geral|2021-02-01 01:15:34
Light|136|@lightclientes Em parada de Lucas e vigário geral..sem.luz. como estar bem nesse calor?|Em parada de Lucas e vigário geral..sem.luz. como estar bem nesse calor?|2021-02-01 01:14:46
Light|137|@lightclientes @radiotupi @cidadealerta @bandnewsfmrio Boa noite, light! sabe o que é isso? é o que vocês nós fazem passar toda noite, desde a quarta-feira 27/01/2021. em pleno calor vocês nos deixam sem luz durante a noite! https://t.co/HQLm1iufND|Boa noite, light! sabe o que é isso? é o que vocês nós fazem passar toda noite, desde a quarta-feira 27/01/2021. em pleno calor vocês nos deixam sem luz durante a noite!|2021-02-01 01:09:06
Light|138|"@lightclientes Posso, inclusive já fiz isso hj e me deram um prazo fictício para reparar.
Vou colocar aqui pq a resposta de vcs no DM é automatizada. Cod 0413061477"|Posso, inclusive já fiz isso hj e me deram um prazo fictício para reparar. Vou colocar aqui pq a resposta de vcs no DM é automatizada. Cod 0413061477|2021-02-01 01:04:36
Light|139|Dona @lightclientes o poste em frente minha casa ta saindo fumaça  🆘|Dona o poste em frente minha casa ta saindo fumaça 🆘|2021-02-01 00:47:16
Light|140|@lightclientes. #luz 0414179035|0414179035|2021-02-01 00:43:34
Light|141|"Alô queridos da @lightclientes faltando energia na Rua Tinharé, 144 - Parada de Lucas 
Dá uma olhada aí por favor."|Alô queridos da faltando energia na Rua Tinharé, 144 - Parada de Lucas Dá uma olhada aí por favor.|2021-02-01 00:41:54
