Distribuidora||Regex|Date
Light|114|mais uma noite sem luz pelo quinto dia consecutivo, gostaria de saber até quando vai isso. Só em Janeiro foram 11 quedas de energia. E não eu não estou bem nesse calor. Ja enviei o codigo na dm e estou aguardando. Ontem voltou 2 da manhã, ante ontem 3 da manha..|2021-02-01 02:51:25
Light|115|Hj novamente|2021-02-01 02:51:24
Light|116|Mais um dia sem luz , gente está uma vergonha|2021-02-01 02:51:14
Light|117|CADE MINHA LUZ CACETE TA FAZENDO 60 GRAUS PELO AMOR DE DEUS|2021-02-01 02:45:18
Light|118|Hoje faltou luz mais cedo nem esperou dar meia noite código do cliente : 33412789 Rua da Jangada , código de instalação : 430176160|2021-02-01 02:17:22
Light|119|Hoje faltou luz mais cedo nem esperou dar meia noite código do cliente : 33412789 Rua da Jangada , código de instalação : 430176160|2021-02-01 02:16:46
Light|120|sem luz nesse inferno de calor obrigada|2021-02-01 02:13:17
Light|121|já mandei as informações|2021-02-01 02:09:41
Light|122|Todo dia essa porra agora? cadê minha luz? O problema não vai ser resolvido? Teremos que ir buscar a solução na justiça?|2021-02-01 02:07:12
Light|123|Todo dia eu te mando! Alguma coisa da pra providenciar?|2021-02-01 01:50:59
Light|124|Não tá né?! Todo dia que cai a luz, não dá pra dormir nem pra fazer nada de 22h até 01h.|2021-02-01 01:50:16
Light|125|No momento tô trabalhando só pra repassar meu dinheiro pra e ainda assim, de vez em quando, a safada me deixa sem luz.|2021-02-01 01:47:23
Light|126|Alô mais um dia de caída de luz. Realmente espero que nenhum eletrodoméstico queime. Pq tá complicado.|2021-02-01 01:45:59
Light|127|serviço da é horrível pqp|2021-02-01 01:45:28
Light|128|vai tomar no cu mais uma madruga sem luz|2021-02-01 01:31:37
Light|129|Alô ,estou sem luz nesse calor !|2021-02-01 01:28:30
Light|130|Mais uma vez sem luz tá feliz?|2021-02-01 01:28:00
Light|131|Onde há solicitação referente a falta de luz? Trabalhem direito! Ah! Esqueci, não conseguem...|2021-02-01 01:23:35
Light|132|Bem não to ta sem luz|2021-02-01 01:23:08
Light|133|Todo dia agora falta luz tá osso.|2021-02-01 01:19:11
Light|134|Padrão de qualidade|2021-02-01 01:15:36
Light|135|Rua TAGIPURU,110. Vigario geral|2021-02-01 01:15:34
Light|136|Em parada de Lucas e vigário geral..sem.luz. como estar bem nesse calor?|2021-02-01 01:14:46
Light|137|Boa noite, light! sabe o que é isso? é o que vocês nós fazem passar toda noite, desde a quarta-feira 27/01/2021. em pleno calor vocês nos deixam sem luz durante a noite!|2021-02-01 01:09:06
Light|138|Posso, inclusive já fiz isso hj e me deram um prazo fictício para reparar. Vou colocar aqui pq a resposta de vcs no DM é automatizada. Cod 0413061477|2021-02-01 01:04:36
Light|139|Dona o poste em frente minha casa ta saindo fumaça 🆘|2021-02-01 00:47:16
Light|140|0414179035|2021-02-01 00:43:34
Light|141|Alô queridos da faltando energia na Rua Tinharé, 144 - Parada de Lucas Dá uma olhada aí por favor.|2021-02-01 00:41:54
Light|142|24 hrs sem Luz. Houve incêndio em uma cs da minha rua, por conta das velas. Crianças chorando, Calor e insetos Alimentos estragando, sem água... Enfim transtorno e descaso total. Entrei em ctt ontem e hj d manhã disse que era emergência e até agora nada.|2021-02-01 00:40:02
Light|143|Alô Light....em parada de Lucas e vigário geral...mas detalhadamente na Rua TAGIPURU,estamos sem uma fase da energia, consequentemente, não conseguimos ligar o ventilar...por favor,estamos numa Pandemia,um calor absurdo,com crianças e idoso em casa...precisamos de uma solução|2021-02-01 00:34:29
Light|144|estamos sem luz em Manguinhos. Cep 21050-060 Como dormir com trinta graus dentro de casa sem luz??|2021-02-01 00:28:52
Light|145|Mais uma noite no escuro Cheirinho de processo tá vindo aí|2021-02-01 00:26:20
Light|146|segue a incompetência de vocês. Já estamos sem energia de novo. Desde quarta feira. (27/01/21). Como trabalhar amanhã, se não dormir hj?|2021-02-01 00:10:13
Light|147|Onde aparece uma pequena luz acima do transformador, está fazendo barulho. Notei ao passar em frente. Rua José Higino altura do número 90.|2021-01-31 23:58:12
Light|148|Faz mais de um mês que a luz na minha rua cai toda noite e a Light não manda nenhum carro de emergência aqui para resolver.|2021-01-31 23:47:48
Light|149|Enviado. No aguardo.|2021-01-31 23:44:23
Light|150|Estou enviando NESSE MOMENTO.|2021-01-31 23:43:19
Light|151|seguimos acumulando protocolos e prejuízos... Quando vão resolver o problema de energia elétrica? 😠|2021-01-31 23:28:07
Light|152|Grato.|2021-01-31 23:24:36
Light|153|Medo da conta de luz|2021-01-31 23:17:13
Light|154|Aguardando vocês reverem o valor absurdo do valor cobrado 420,00 em uma conta de luz de cômodos minúsculo onde mora somente uma pessoa que trabalha de 4:40 da madrugada e chega em casa as 19hrs|2021-01-31 22:59:31
Light|155|Mandei.|2021-01-31 22:46:52
Light|156|?|2021-01-31 22:32:36
Light|157|Essa gata está solteira, a procura do dono da , com o objetivo de passar o verão no ar condicionado. Compartilhe pra ajudar a amiga calorenta 🥵|2021-01-31 22:30:53
Light|158|Já mandei MD pra vcs e sem resposta ainda!|2021-01-31 22:30:00
Light|159|Sim, já foi enviado o cód. da instalação.|2021-01-31 22:11:03
Light|160|, poxa , me mudei para o apartamento que estou morando e aqui está sem energia. O pior é que o meu é o único sem energia e fiz o contrato no início de janeiro.|2021-01-31 22:10:55
Light|161|Já tinha mandado por DM e por sms|2021-01-31 22:09:47
Light|162|A luz voltou, mas adivinha? Acabou de novo|2021-01-31 22:08:15
Light|163|Mais um dia sem luz o transformador da rua explodiu de novo, novamente, mais uma vez!|2021-01-31 22:07:31
Light|164|Basta olhar sua caixa de msg|2021-01-31 21:46:17
Light|165|Aguardo vocês na DM|2021-01-31 21:41:47
Light|166|pqp atrapalhou meu domingo INTEIRO. E ainda não resolveu nada|2021-01-31 21:36:24
Light|167|Não está nada legal! Um calor doa infernos e não há luz faz 4 horas! Kd vcs para resolver o problema!!!|2021-01-31 21:34:15
Light|168|falta luz no cep 21940-480 nesse calor kd a solução????|2021-01-31 21:32:25
Light|169|Viva a floresta de ligação Clandestina. Esse é o resultado.|2021-01-31 21:29:29
Light|170|Está tudo péssimo, horrível sem.luz desde das 15:00.|2021-01-31 21:24:29
Light|171|R$784 de conta da Inacreditável!!!|2021-01-31 21:18:24
Light|172|pelo amor de deus um calor dos infernos essa luz não volta. Eu não vou pagar essa merda de conta|2021-01-31 21:15:43
Light|173|CEP 20551-100 N° 301|2021-01-31 21:08:22
Light|174|vou dedicar a partir de agora todo o tempo em que estiver sem abastecimento de energia, a estar aqui falando com vcs 😉 e saibam que tem muita gente disposta a me ajudar nisso😘|2021-01-31 21:05:51
Light|175|Se eu atrasar o pagamento, rapidamente vocês irão se prontificar a vir aqui e cortar meu fornecimento! Essa maneira de agir demostra o quão deficiente, negligente e incompetente, é sua administração. #|2021-01-31 21:04:28
Light|176|estou desde as 2 da manhã sem luz, fazendo solicitações de emergência, no telefone, site, app e agora e mais uma vez. Tenham o mínimo de consideração e profissionalismo e me dêem uma resposta. Vocês deveriam se envergonhar pelo péssimo serviço.|2021-01-31 21:01:51
Light|177|SÓ FICAREI FELIZ QUANDO MINHA EMERGIA VOLTAR|2021-01-31 20:30:36
Light|178|PELO AMOR DE DEUS, ISSO É DESUMANO. O RIO DE JANEIRO ESTÁ UM CALOR INFERNAL. VOCÊS TINHAM Q VIR AGORA. JÁ ABRI MAIS DE 10 CHAMADOS EM 24H.|2021-01-31 20:30:16
Light|179|Rua Engenheiro Gama Lobo, 301, Vila Isabel.|2021-01-31 20:13:13
Light|180|Quatro .|2021-01-31 20:11:02
Light|181|CPF cancelado com sucesso 🙌|2021-01-31 20:09:15
Light|182|Que lindo!👍👍👍👍|2021-01-31 20:06:22
Light|183||2021-01-31 20:01:26
Light|184|Mandei por dm|2021-01-31 20:00:15
Light|185|CPF cancelado|2021-01-31 19:54:59
Light|186|Alô , até agora aguardando vocês para poda das árvores na rua Egenheiro Gama Lobo - V. Isabel. Estão aguar…|2021-01-31 19:53:43
Light|187|Alô meus consagrados. Rua Eliseu Visconti, 120 Fundos, no bairro do Catumbi, desde sexta a noite SEM LUZ, idosos, pessoas com deficiência e crianças de colo tudo sofrendo nesse calor, faz ligação para central e só prometem de vir e nada, como a gente fica?|2021-01-31 19:42:42
Light|188|Essas arvores ficam na Rua Engenheiro Gama Lobo, altura dos números 291/313.|2021-01-31 19:41:30
Light|189||2021-01-31 19:40:03
Light|190|Seus técnicos já estiveram aqui e afirmaram que só podem fazer a poda com a presença da prefeitura. Já fizeram a solicitação e até agora nada. Já se passaram mais de 15 dias . Se cair e matar alguém ou gerar um incêndio sabemos o culpado.|2021-01-31 19:38:01
Light|191|mais uma vez sem energia.|2021-01-31 19:36:11
Light|192||2021-01-31 19:30:27
Light|193|Galhos todos soltos e batendo nas janelas dos prédios e pior, em cima da fiação de energia.|2021-01-31 19:26:36
Light|194|Galhos todos soltos e batendo nas janelas dos prédios e pior, em cima da fiação de energia.|2021-01-31 19:26:12
Light|195|Alô , até agora aguardando vocês para poda das árvores na rua Egenheiro Gama Lobo - V. Isabel. Estão aguar…|2021-01-31 19:21:11
Light|196|Alô , até agora aguardando vocês para poda das árvores na rua Egenheiro Gama Lobo - V. Isabel. Estão aguardando uma tragédia acontecer primeiro?|2021-01-31 19:18:35
Light|197|URGENTE VAZAMENTO DE ASCAREL NO LOCAL|2021-01-31 19:05:02
Light|198|ESTOU A 22 HORAS SE ENERGIA|2021-01-31 19:03:43
Light|199|JÁ ABRI 5 CHAMADOS PARA VOCÊS VIREM RESOLVER A ENRGIA DAQUI DE CASA QUE PAROU DO NADA E ATÉ AGORA NADA. ESTAMOS SEM ENERGIA NESSE CALOR INFERNAL DO RIO DE JANEIRO|2021-01-31 19:01:39
Light|200|Gabi, por um acaso estão te ligando dizendo que vc tem uma conta em atraso?|2021-01-31 18:52:33
Light|201|att: TRANSFORMADOR 84790 13200 Responsável por todas as ocorrências de falta de energia a durante as últimas 06 noites consecutivas, todas relatadas em DM e no: Protocolo 2163068600|2021-01-31 18:47:27
Light|202|Exatamente gabi!!! Meu deus é só estresse!!|2021-01-31 18:44:40
Light|203|Posso! E espero que seja resolvido ainda hoje! Ninguém aguenta mais ter paciência e viver de aguardo!|2021-01-31 18:19:57
Light|204|420531602|2021-01-31 18:08:47
Light|205|Seboso|2021-01-31 17:53:54
Light|206||2021-01-31 17:48:54
Light|207|Empresa horrível, péssima, na postagem está dizendo o endereço e ainda fazem perguntas onde é o endereço!?|2021-01-31 17:44:18
Light|208|ficar sem luz nesse calor da não hein!! As contas de luz estão pagas , então não tem necessidade né ? Bora da a luz nisso aí .|2021-01-31 17:40:08
Light|209|sem falar que a mãe de um recém-nascido que mora embaixo da minha casa já ligou VÁRIAS vezes pra vocês e deu todas essas informações que vocês solicitaram!!!|2021-01-31 17:39:55
Light|210|A minha casa é alugada e ainda não realizei a transferência da caixa pro meu nome. Porque é tão difícil pra vocês considerar as inúmeras denúncias já realizadas por telefone e ir resolver logo aquela merda???|2021-01-31 17:38:37
Light|211||2021-01-31 17:35:31
Light|212|Rio 40 graus cidade purgatorio da beleza do caos.|2021-01-31 17:35:29
Light|213||2021-01-31 17:34:44
Light|214|Poste Pegando Fogo na Ayrton Senna altura do Uptown|2021-01-31 17:33:54
Light|215|vocês colocaram e ainda estão colocando a vida dos moradores em risco!!|2021-01-31 17:24:14
Light|216|e ressaltando que aquela porra pegou fogo depois que um dos funcionários de vocês mexeu lá, é toda hora vocês mexendo naquele caralho, mexe na porra do cu de vocês!!! A próxima vez que aparecer pra mexer sem necessidade eu vou filmar!!!|2021-01-31 17:23:24
Light|217|Rua Afrânio da Costa 89 Jardim Alvorada, está todo mundo ligando para vocês e vocês estão dizendo que vão mandar o carro mais próximo mas até agora mandaram PORRA nenhuma! Ninguém é palhaço nessa merda, ninguém ta aguentando mais nesse calor! Tem idoso com maquina de hemodiálise|2021-01-31 17:22:08
Light|218|Passei pelo tweet sequencial!!!|2021-01-31 17:20:23
Light|219|Isso tudo só aconteceu depois que um funcionário de vocês mexeu lá!! Caralho que descaso é esse??? eu vou processar vocês!!! Meu deus!!|2021-01-31 17:00:31
Light|220|eu gostaria de saber o porque vocês não consertaram o poste de energia da minha rua até agora? Vocês disseram de madrugada que era caso de emergência pq aquela porra pegou fogo e até agora vocês não deram as caras. Tem mães com bebês, gente idosa etc|2021-01-31 17:00:31
Light|221|Boa Tarde , Já Foi Estabelecido o Funcionamento . Desde Já Agradeço !|2021-01-31 16:59:52
Light|222|Caralho que inferno de bairro maldito com urbanização desordenazada. Qualquer merdinha e já cai a porra da luz na freguesia. Eu preciso lavar banheiro|2021-01-31 16:42:47
Light|223|Alô Todo dia várias quedas de energia! Será o verão todo isso?|2021-01-31 16:31:56
Light|224|um absurdo desde as 2h da madrugada em Madureira sem luz. Ligo para lá não recebo uma posição já são quase 12h sem energia em um calor desse com a comida estragando.|2021-01-31 16:26:24
Light|225|6 horas esperando a vim consertar meus fios que estão partidos na rua! Estou sem luz desde 6 da manhã...|2021-01-31 15:44:26
Light|226|gasto faz tempo a mesma coisa moro num pequeno predio o contadorvpode ter errado?Como disse nem banho tomo em casa tomo na academia e moro com minha mae que toma poucos banhos e de idade agradeço sepuderem verificar pelasultimas contas meu consumo em relaçao a ultima queveioAlta|2021-01-31 15:43:03
Light|227|pedi ajuda informei tudo mas ate agora nada|2021-01-31 15:38:25
Light|228|seguimos aguardando o restabelecimento da energia elétrica. Alimentos estragando na geladeira. Vcs vão se responsabilizar por isso?|2021-01-31 15:33:29
Light|229|Oi, Tudo Bem ? Atuo em casos de direito do consumidor, trabalho em todo o Rio de Janeiro (escritório virtual), caso precise de um Advogado estou à disposição para esclarecer quaisquer dúvidas. WhatsApp (21) 96465-2877|2021-01-31 15:17:43
Light|230|Oi, Tudo Bem Atuo em casos de direito do consumidor, trabalho em todo o Rio de Janeiro (escritório virtual), caso precise de um Advogado estou à disposição para esclarecer quaisquer dúvidas. WhatsApp (21) 96465-2877|2021-01-31 15:11:26
Light|231|Koe arruma essa luz aí irmão tnc ein|2021-01-31 15:04:44
Light|232|Atuo em casos de direito do consumidor, trabalho em todo o Rio de Janeiro (escritório virtual), caso precise de um Advogado estou à disposição para esclarecer quaisquer dúvidas. WhatsApp (21) 96465-2877|2021-01-31 15:04:33
Light|233|Atuo em casos de direito do consumidor, trabalho em todo o Rio de Janeiro (escritório virtual), caso precise de um Advogado estou à disposição para esclarecer quaisquer dúvidas. WhatsApp (21) 96465-2877|2021-01-31 15:01:36
Light|234|Calor de 835 graus na sombra e a luz acaba. Aí é osso hein,|2021-01-31 14:58:37
Light|235|Rua Capitão Mario Barbedo 170|2021-01-31 14:44:10
Light|236|Aqui pelo Amoa agora está sem serviço mesmo.|2021-01-31 14:40:41
Light|237|Ora, se já forneci os dados da conta, porquê vocês na analisam pelos seus registros, afinal de contas, quando preciso de 2a via é a vocês que recorro. Como já disse, meu relógio foi trocado no dia 27/02/21 por aumento de carga.|2021-01-31 14:35:00
Light|238|Alô qual é o problema na região de Ricardo de Albuquerque e adjacências que fica no apaga apaga de luz!? Quando queimar nossos eletrodomésticos quero saber quem vai pagar! 😡|2021-01-31 14:18:55
Light|239|10 picos de luz em dez minutos no Parque Anchieta. Alguma explicação pra dar ou terei que deixar minha casa pegar fogo para alguma providência?|2021-01-31 14:18:54
Light|240|VOLTA A LUZ AÍ CARALHO|2021-01-31 14:12:21
Light|241|bom dia , vcs estão fazendo algum reparo na rede no bairro de Ricardo de Albuquerque? Toda hora está tendo queda de energia , daqui a pouco os aparelhos vão queimar .|2021-01-31 14:11:24
Light|242|Eletricista esteva lá e indicou que o problema está fora da casa. Agora já fazem 5 dias de chamado aberto e sem retorno nenhum da concessionária .|2021-01-31 13:49:32
Light|243|Meu sogro, 75 anos, cardiopata, sem luz desde 27/01, porque o pessoal de manutenção de vocês é incapaz de atender um chamado em prazo adequado. Imagina se estivéssemos com calor recorde de verão no Rio de Janeiro?|2021-01-31 13:49:31
