Date|Distribuidora||Original|Regex|Processado|No Stopwords
2021-02-04|Light|11|"@lightclientes A light e uma vergonha o bairro que moro está sem luz há quatro horas,muitas pessoas ligaram e ninguém até agora apareceu.
Uma das faces caiu problema seria selecionado em 5 minutos e até agora não apareceu pra selecionar o problema ."|A light e uma vergonha o bairro que moro está sem luz há quatro horas,muitas pessoas ligaram e ninguém até agora apareceu. Uma das faces caiu problema seria selecionado em 5 minutos e até agora não apareceu pra selecionar o problema .|vergonha bairro luz horas pessoas ligaram agora apareceu faces caiu problema selecionado agora apareceu selecionar problema|vergonha bairro luz horas pessoas ligaram agora apareceu faces caiu problema selecionado agora apareceu selecionar problema
2021-02-04|Light|12|Qual foi @lightclientes ???? Tem jogo mais tarde e a luz não volta|Qual foi ???? Tem jogo mais tarde e a luz não volta|jogo tarde luz volta|jogo tarde luz volta
2021-02-04|Light|13|@lightclientes ja abri a reclamação na DM. Vem aqui urgente,tá passando corrente para o chão. https://t.co/kUealvCemR|ja abri a reclamação na DM. Vem aqui urgente,tá passando corrente para o chão.|abri reclamação dm vem aqui urgente tá passando corrente chão|abri reclamação dm vem aqui urgente tá passando corrente chão
2021-02-04|Light|14|Virou palhaçada agora é só ventar que falta luz @lightclientes|Virou palhaçada agora é só ventar que falta luz|virou palhaçada agora ventar falta luz|virou palhaçada agora ventar falta luz
2021-02-04|Light|15|@lightclientes @ProconRJ Enviei o código por DM e ninguém viu até agora?! Estamos desde ontem cedo nessa situação, absurdo!|Enviei o código por DM e ninguém viu até agora?! Estamos desde ontem cedo nessa situação, absurdo!|enviei código viu agora ontem cedo situação absurdo|enviei código viu agora ontem cedo situação absurdo
2021-02-04|Light|16|@lightclientes @yurorr KKKKKKKKKKKKKKKKKKKKKKKKK|KKKKKKKKKKKKKKKKKKKKKKKKK|kkkkkkkkkkkkkkkkkkkkkkkkk|kkkkkkkkkkkkkkkkkkkkkkkkk
2021-02-04|Light|17|@lightclientes @ProconRJ Enviado|Enviado|enviado|enviado
2021-02-04|Light|18|@lightclientes Já  retornou.|Já retornou.|retornou|retornou
2021-02-04|Light|20|@lightclientes @ProconRJ Esta tudo péssimo. Só eu no meu prédio tenho 4 protocolos.|Esta tudo péssimo. Só eu no meu prédio tenho 4 protocolos.|péssimo prédio|péssimo prédio
2021-02-04|Light|21|@lightclientes Sem luz novamente! Acha q estou de sacanagem?|Sem luz novamente! Acha q estou de sacanagem?|luz novamente acha sacanagem|luz novamente acha sacanagem
2021-02-04|Light|22|@lightclientes Ontem um funcionário de vocês estiveram no prédio que moro e deixou o prédio com apenas uma fase! Estamos sem pode ligar a bomba de água, ninguém vem consertar. Estou colecionando protocolos, mas ninguém vem. @ProconRJ ajuda aí tbm. Imagina nesse calor sem água|Ontem um funcionário de vocês estiveram no prédio que moro e deixou o prédio com apenas uma fase! Estamos sem pode ligar a bomba de água, ninguém vem consertar. Estou colecionando protocolos, mas ninguém vem. ajuda aí tbm. Imagina nesse calor sem água|ontem funcionário prédio deixou prédio apenas fase ligar bomba água vem consertar colecionando protocolos vem ajuda aí tbm imagina calor água|ontem funcionário prédio deixou prédio apenas fase ligar bomba água vem consertar colecionando protocolos vem ajuda aí tbm imagina calor água
2021-02-04|Light|23|@lightclientes @yurorr KKKKKKKKKKKKK|KKKKKKKKKKKKK|kkkkkkkkkkkkk|kkkkkkkkkkkkk
2021-02-04|Light|24|@lightclientes @yurorr Kkkkkkkkkkkkkkk|Kkkkkkkkkkkkkkk||
2021-02-04|Light|25|@yurorr @lightclientes Agora puxa um gato pra ve se num aparece 3 caminhoes da light 5 viaturas 8 leitor de relógio|Agora puxa um gato pra ve se num aparece 3 caminhoes da light 5 viaturas 8 leitor de relógio|agora puxa gato ve aparece viaturas leitor relógio|agora puxa gato ve aparece viaturas leitor relógio
2021-02-04|Light|26|@lightclientes Oi mandei um dm para vocês, assim que puderem por favor me respondam, obrigado|Oi mandei um dm para vocês, assim que puderem por favor me respondam, obrigado|mandei dm assim puderem favor respondam obrigado|mandei dm assim puderem favor respondam obrigado
2021-02-04|Light|27|@lightclientes será que tem como a gente conversar na dm e resolver uma troca de titularidade que tá se arrastando a quase um mês? Pq a comunicação por e-mail tá difícil 😒|será que tem como a gente conversar na dm e resolver uma troca de titularidade que tá se arrastando a quase um mês? Pq a comunicação por e-mail tá difícil 😒|gente conversar dm resolver troca titularidade arrastando quase mês pq comunicação e-mail tá difícil|gente conversar dm resolver troca titularidade arrastando quase mês pq comunicação e-mail tá difícil
2021-02-04|Light|28|@lightclientes e ainda tô tentando trocar o nome do relógio que minha tia faleceu e a casa ficou pra mim e não consigo. Vocês precisam melhorar esse serviço de merda!|e ainda tô tentando trocar o nome do relógio que minha tia faleceu e a casa ficou pra mim e não consigo. Vocês precisam melhorar esse serviço de merda!|ainda tentando trocar nome relógio tia faleceu casa ficou consigo precisam melhorar serviço merda|ainda tentando trocar nome relógio tia faleceu casa ficou consigo precisam melhorar serviço merda
2021-02-04|Light|29|@lightclientes que serviço péssimo que vocês fornecem. Minha conta de luz veio o dobro do que vem de costume, sendo que tô morando em outra cidade e nem em casa eu tô ficando. VERGONHA! quando é pra cobrar e cortar a luz vocês vem rápido|que serviço péssimo que vocês fornecem. Minha conta de luz veio o dobro do que vem de costume, sendo que tô morando em outra cidade e nem em casa eu tô ficando. VERGONHA! quando é pra cobrar e cortar a luz vocês vem rápido|serviço péssimo fornecem conta luz veio dobro vem costume morando cidade casa ficando vergonha cobrar cortar luz vem rápido|serviço péssimo fornecem conta luz veio dobro vem costume morando cidade casa ficando vergonha cobrar cortar luz vem rápido
2021-02-04|Light|30|@lightclientes  que serviço péssimo que vocês fornecem! Minha conta veio o dobro, sendo que nem em casa eu tô ficando, to morando em outra cidade e o número para contato não consigo falar. Vergonha e descaso|que serviço péssimo que vocês fornecem! Minha conta veio o dobro, sendo que nem em casa eu tô ficando, to morando em outra cidade e o número para contato não consigo falar. Vergonha e descaso|serviço péssimo fornecem conta veio dobro casa ficando morando cidade número contato falar vergonha descaso|serviço péssimo fornecem conta veio dobro casa ficando morando cidade número contato falar vergonha descaso
2021-02-04|Light|31|@heberthgomes1 @CedaeRJ @lightclientes Porra nem fala !|Porra nem fala !|porra fala|porra fala
2021-02-04|Light|32|@yurorr @lightclientes eai @lightclientes a tropa de belford roxo vai ter que ir cobrar pessoalmente ou vai resolver|eai a tropa de belford roxo vai ter que ir cobrar pessoalmente ou vai resolver|tropa cobrar pessoalmente resolver|tropa cobrar pessoalmente resolver
2021-02-04|Light|33|"@lightclientes Esse aparelho foi instalado por funcionarios de vcs... na casa da minha mae que mora sozinha... 
Acho um absurdo o nivel de desconfiança com o consumidor!  Funcionario informou que ficará aqui por 15 dias... quero saber se esse é padrao de tratamento?"|Esse aparelho foi instalado por funcionarios de vcs... na casa da minha mae que mora sozinha... Acho um absurdo o nivel de desconfiança com o consumidor! Funcionario informou que ficará aqui por 15 dias... quero saber se esse é padrao de tratamento?|aparelho instalado funcionarios vcs mora sozinha acho absurdo nivel desconfiança consumidor informou ficará aqui quero saber padrao tratamento|aparelho instalado funcionarios vcs mora sozinha acho absurdo nivel desconfiança consumidor informou ficará aqui quero saber padrao tratamento
2021-02-04|Light|34|Tô pendurado no telefone desde meio dia tentando resolver problema com a @lightclientes. DESDE MEIO DIA. Passei o dia todo tentando e não consegui atendimento que resolvesse meu problema. Gerei 12 (DOZE) números de protocolo. Que descaso do caralho, revoltante essa porra.|Tô pendurado no telefone desde meio dia tentando resolver problema com a DESDE MEIO DIA. Passei o dia todo tentando e não consegui atendimento que resolvesse meu problema. Gerei 12 (DOZE) números de protocolo. Que descaso do caralho, revoltante essa porra.|pendurado telefone meio dia tentando resolver problema meio dia dia tentando consegui atendimento resolvesse problema protocolo descaso revoltante porra|pendurado telefone meio dia tentando resolver problema meio dia dia tentando consegui atendimento resolvesse problema protocolo descaso revoltante porra
2021-02-04|Light|35|@lightclientes  esse tipo de averiguacao é normal?? Pois para mim parte do pressuposto da dúvida que eu sou honesto! Nao? https://t.co/YZ5DlZslvt|esse tipo de averiguacao é normal?? Pois para mim parte do pressuposto da dúvida que eu sou honesto! Nao?|tipo averiguacao normal pois parte pressuposto dúvida honesto nao|tipo averiguacao normal pois parte pressuposto dúvida honesto nao
2021-02-04|Light|36|@lightclientes Falta de luz na instalação 420817208|Falta de luz na instalação 420817208|falta luz instalação|falta luz instalação
2021-02-04|Light|37|@lightclientes enviei a DM.|enviei a DM.|enviei dm|enviei dm
2021-02-04|Light|38|ALÔ @lightclientes cadê minha luz. PRECISO TRABALHAR|ALÔ cadê minha luz. PRECISO TRABALHAR|cadê luz preciso trabalhar|cadê luz preciso trabalhar
2021-02-04|Light|39|@lightclientes seu site é uma merda|seu site é uma merda|site merda|site merda
2021-02-04|Light|40|@lightclientes preciso transferir uma titularidade para um cpf que não está cadastrado no site da light. Como posso fazer isso se me pedem para fazer login e eu não tenho senha nem código de cliente?|preciso transferir uma titularidade para um cpf que não está cadastrado no site da light. Como posso fazer isso se me pedem para fazer login e eu não tenho senha nem código de cliente?|preciso transferir titularidade cpf cadastrado site fazer pedem fazer login senha código cliente|preciso transferir titularidade cpf cadastrado site fazer pedem fazer login senha código cliente
2021-02-04|Light|41|Não acredito que a @lightclientes fez merda na luz da rua num calor do caralho desse que ta fazendo... puta merda|Não acredito que a fez merda na luz da rua num calor do caralho desse que ta fazendo... puta merda|acredito fez merda luz rua calor fazendo puta merda|acredito fez merda luz rua calor fazendo puta merda
2021-02-04|Light|42|@lightclientes @angotto_pedro @HonoratoSptb Kjkfkkkfkkkgkkgkfkgjkgk|Kjkfkkkfkkkgkkgkfkgjkgk||
2021-02-04|Light|43|@lightclientes A luz da minha casa caiu 5 vezes em menos de uma hora. Estavam fazendo manutenção na rede externa, mas não é justificativa.|A luz da minha casa caiu 5 vezes em menos de uma hora. Estavam fazendo manutenção na rede externa, mas não é justificativa.|luz casa caiu vezes menos hora fazendo manutenção rede externa justificativa|luz casa caiu vezes menos hora fazendo manutenção rede externa justificativa
2021-02-04|Light|44|@lightclientes Mandei por DM.|Mandei por DM.|mandei|mandei
2021-02-04|Light|45|@lightclientes Com duas contas para pagar😡|Com duas contas para pagar😡|contas pagar 😡|contas pagar 😡
2021-02-04|Light|46|@ale22_rodrigues @lightclientes Irmão não adianta, eles já sabem que na minha rua tá uma merda e é sempre a mesma coisa 🤦🏼‍♀️|Irmão não adianta, eles já sabem que na minha rua tá uma merda e é sempre a mesma coisa 🤦🏼‍♀️|irmão adianta sabem rua tá merda sempre coisa 🏼‍ ♀|irmão adianta sabem rua tá merda sempre coisa 🏼‍ ♀
2021-02-04|Light|47|@lightclientes minha filha conserta essa energia logo|minha filha conserta essa energia logo|filha conserta energia logo|filha conserta energia logo
2021-02-04|Light|48|@lightclientes Muito. Eu trabalho de home-office e já tive problemas no meio de reuniões importantes. São quedas constantes e tem me atrapalhado bastante. Sem falar na possibilidade de queimar eletrodomésticos, como já tive um computador queimado por isso.|Muito. Eu trabalho de home-office e já tive problemas no meio de reuniões importantes. São quedas constantes e tem me atrapalhado bastante. Sem falar na possibilidade de queimar eletrodomésticos, como já tive um computador queimado por isso.|trabalho home-office problemas meio reuniões importantes quedas constantes atrapalhado bastante falar possibilidade queimar eletrodomésticos computador queimado|trabalho home-office problemas meio reuniões importantes quedas constantes atrapalhado bastante falar possibilidade queimar eletrodomésticos computador queimado
2021-02-04|Light|49|@MicaeleCrvg @lightclientes vcs aí sofrem muito mais, tinha q se reunir geral p resolver isso|vcs aí sofrem muito mais, tinha q se reunir geral p resolver isso|aí sofrem reunir geral resolver|aí sofrem reunir geral resolver
2021-02-04|Light|50|@lightclientes Cpf: 08988905784|Cpf: 08988905784|cpf 08988905784|cpf 08988905784
2021-02-04|Light|51|"@lightclientes Nunimar Martins Lopes
Cod: 23717735"|Nunimar Martins Lopes Cod: 23717735||
2021-02-04|Light|52|@lightclientes O que é DM?|O que é DM?|dm|dm
2021-02-04|Light|53|@lightclientes  alô alô dá uma assistência ao povo da comunidade morro do sapo, rua Himalaia. Toda madrugada é essa falta de luz, e vez ou outra a tarde também. Parece que o transformador não aguenta por conta do calor. 🗣️|alô alô dá uma assistência ao povo da comunidade morro do sapo, rua Himalaia. Toda madrugada é essa falta de luz, e vez ou outra a tarde também. Parece que o transformador não aguenta por conta do calor. 🗣️|dá assistência povo comunidade morro sapo madrugada falta luz vez tarde parece transformador aguenta conta calor|dá assistência povo comunidade morro sapo madrugada falta luz vez tarde parece transformador aguenta conta calor
2021-02-04|Light|54|"14h30 e já caiu a luz 3 vezes. 

@lightclientes acordou INSPIRADA nesse calor de 40ºC."|14h30 e já caiu a luz 3 vezes. acordou INSPIRADA nesse calor de 40ºC.|14h30 caiu luz vezes acordou inspirada calor|14h30 caiu luz vezes acordou inspirada calor
2021-02-04|Light|55|@lightclientes Já retornou a energia!!|Já retornou a energia!!|retornou energia|retornou energia
2021-02-04|Light|56|@lightclientes Está tudo bem mais a queda é geral aqui no bairro de Guaratiba perto da estrada do Magarça|Está tudo bem mais a queda é geral aqui no bairro de Guaratiba perto da estrada do Magarça|bem queda geral aqui bairro perto estrada magarça|bem queda geral aqui bairro perto estrada magarça
2021-02-04|Light|57|@lightclientes responde os clientes !!!|responde os clientes !!!|responde|responde
2021-02-04|Light|58|@lightclientes alô @lightclientes faltando luz direito em Guaratiba Socorro|alô faltando luz direito em Guaratiba Socorro|faltando luz direito|faltando luz direito
2021-02-04|Light|59|@lightclientes Boa tarde. Voltou mas tá indo e voltando desde as 13h.|Boa tarde. Voltou mas tá indo e voltando desde as 13h.|boa tarde voltou indo voltando 13h|boa tarde voltou indo voltando 13h
2021-02-04|Light|60|@lightclientes estou com um imóvel fechado e tenho pago pela medição estimativa. Portanto, pagando o que nao estou usando. Como procedo?|estou com um imóvel fechado e tenho pago pela medição estimativa. Portanto, pagando o que nao estou usando. Como procedo?|imóvel fechado pago medição estimativa portanto pagando usando procedo|imóvel fechado pago medição estimativa portanto pagando usando procedo
2021-02-04|Light|61|"Ô @lightclientes, eu só queria avisar q se esse vai e vem de energia aqui em Guaratiba queimar algum eletrodoméstico meu eu vou enfiar até os bago no cu de vocês

Obrigado pela atenção
#PAS"|Ô eu só queria avisar q se esse vai e vem de energia aqui em Guaratiba queimar algum eletrodoméstico meu eu vou enfiar até os bago no cu de vocês Obrigado pela atenção|queria avisar vem energia aqui queimar eletrodoméstico enfiar bago cu obrigado atenção|queria avisar vem energia aqui queimar eletrodoméstico enfiar bago cu obrigado atenção
2021-02-04|Light|62|@lightclientes desde 1 da manhã fiz abertura de chamado por falta de energia via aplicativo do cliente e já se passaram mais de 12 horas e não apareceu ninguém o cabo que vem da rua hespéria para a rua da alegria pegou fogo e se partiu deixando algumas casas sem energia.|desde 1 da manhã fiz abertura de chamado por falta de energia via aplicativo do cliente e já se passaram mais de 12 horas e não apareceu ninguém o cabo que vem da rua hespéria para a rua da alegria pegou fogo e se partiu deixando algumas casas sem energia.|manhã abertura chamado falta energia via aplicativo cliente passaram horas apareceu ninguém cabo vem rua hespéria rua pegou fogo partiu deixando casas energia|manhã abertura chamado falta energia via aplicativo cliente passaram horas apareceu ninguém cabo vem rua hespéria rua pegou fogo partiu deixando casas energia
2021-02-04|Light|63|Se eu chegar metralhando o pessoal da @lightclientes, pelo péssimo serviço que prestam, conta como crime passional?|Se eu chegar metralhando o pessoal da pelo péssimo serviço que prestam, conta como crime passional?|metralhando pessoal péssimo serviço prestam conta crime passional|metralhando pessoal péssimo serviço prestam conta crime passional
2021-02-04|Light|64|@lightclientes o @lightclientes é normal vocês mandaram duas contas com o mesmo mês de vencimento?????? como vou pagar duas contas no mesmo mês? o que eu faço!??????|o é normal vocês mandaram duas contas com o mesmo mês de vencimento?????? como vou pagar duas contas no mesmo mês? o que eu faço!??????|normal mandaram contas mês vencimento pagar contas mês faço|normal mandaram contas mês vencimento pagar contas mês faço
2021-02-04|Light|65|@jandira_feghali Só a conta de energia da @lightclientes atualmente no Rio, já leva praticamente metade desse valor.|Só a conta de energia da atualmente no Rio, já leva praticamente metade desse valor.|conta energia atualmente leva praticamente metade valor|conta energia atualmente leva praticamente metade valor
2021-02-04|Light|66|@lightclientes Já é a sexta vez q a energia cai em fração de segundos vai e volta , alguém pode dizer o q está acontecendo|Já é a sexta vez q a energia cai em fração de segundos vai e volta , alguém pode dizer o q está acontecendo|sexta vez energia cai fração segundos vai volta dizer acontecendo|sexta vez energia cai fração segundos vai volta dizer acontecendo
2021-02-04|Light|67|A luz já caiu e voltou 6x em menos de 1h. Tá foda, hein dona @lightclientes? Quando queimar minha geladeira quero só ver.|A luz já caiu e voltou 6x em menos de 1h. Tá foda, hein dona Quando queimar minha geladeira quero só ver.|luz caiu voltou 6x menos 1h dona queimar geladeira quero ver|luz caiu voltou 6x menos 1h dona queimar geladeira quero ver
2021-02-04|Light|68|a @CedaeRJ está disputando com o sol pra ver qem mata o carioca 1°, espero qe a @lightclientes não se meta nessa história!|a está disputando com o sol pra ver qem mata o carioca 1°, espero qe a não se meta nessa história!|disputando sol ver mata carioca espero meta história|disputando sol ver mata carioca espero meta história
2021-02-04|Light|69|@lightclientes @ANEEL_govbr Codigo 410564011|Codigo 410564011||
2021-02-04|Light|70|@lightclientes @celsorussomanno @ProconRJ trabalhador que mora em comunidade em kitnet minúscula e mora sozinho,  sai de casa de madrugada, retorna às 19hrs  recebe conta de luz no valor 420, @MP_RJ|trabalhador que mora em comunidade em kitnet minúscula e mora sozinho, sai de casa de madrugada, retorna às 19hrs recebe conta de luz no valor 420,|trabalhador mora comunidade sozinho sai casa madrugada retorna 19hrs recebe conta luz valor|trabalhador mora comunidade sozinho sai casa madrugada retorna 19hrs recebe conta luz valor
2021-02-04|Light|71|@lightclientes Te enviei msg. Na vdde a situação fica nesse vai e vem de msg e nada foi resolvido até agora.|Te enviei msg. Na vdde a situação fica nesse vai e vem de msg e nada foi resolvido até agora.|vdde situação fica vem resolvido agora|vdde situação fica vem resolvido agora
2021-02-04|Light|72|RT @angotto_pedro: @lightclientes @HonoratoSptb vai toma no cu boa tarde|vai toma no cu boa tarde|toma boa tarde|toma boa tarde
2021-02-04|Light|73|@angotto_pedro @lightclientes VsfKKKKKKKKKKK|VsfKKKKKKKKKKK|vsfkkkkkkkkkkk|vsfkkkkkkkkkkk
2021-02-04|Light|74|@lightclientes @HonoratoSptb vai toma no cu boa tarde|vai toma no cu boa tarde|toma boa tarde|toma boa tarde
2021-02-04|Light|75|@lightclientes como é q é filha, quer queimar as paradas aq de casa??|como é q é filha, quer queimar as paradas aq de casa??|filha quer queimar paradas aq casa|filha quer queimar paradas aq casa
2021-02-04|Light|76|@gustastew @lightclientes Levantou com o pé esquerdo né?|Levantou com o pé esquerdo né?|levantou pé esquerdo né|levantou pé esquerdo né
2021-02-04|Light|78|@lightclientes sem luz em Sepetiba por qual motivo????|sem luz em Sepetiba por qual motivo????|luz motivo|luz motivo
2021-02-04|Light|79|@HonoratoSptb @lightclientes como q faz seus corno|como q faz seus corno|faz corno|faz corno
2021-02-04|Light|80|@lightclientes vcs tão de sacanagem. Ontem foram diversas quedas de energia. Só hj já foram 4, até agora. Tão prejudicando meu trabalho e se queimar minhas coisas, a gente vai se ver na justiça. Isso é uma palhaçada. Péssimo serviço. Péssimo.|vcs tão de sacanagem. Ontem foram diversas quedas de energia. Só hj já foram 4, até agora. Tão prejudicando meu trabalho e se queimar minhas coisas, a gente vai se ver na justiça. Isso é uma palhaçada. Péssimo serviço. Péssimo.|tão sacanagem ontem quedas energia hj agora tão prejudicando trabalho queimar coisas gente ver justiça palhaçada serviço péssimo|tão sacanagem ontem quedas energia hj agora tão prejudicando trabalho queimar coisas gente ver justiça palhaçada serviço péssimo
2021-02-04|Light|81|"um calor desse e to sem luz e a água que tem pra beber tem gosto de barro que inferno
@CedaeRJ @lightclientes MELHOREM!!!!!!!"|um calor desse e to sem luz e a água que tem pra beber tem gosto de barro que inferno MELHOREM!!!!!!!|calor luz água beber gosto barro inferno melhorem|calor luz água beber gosto barro inferno melhorem
2021-02-04|Light|82|@lightclientes Ok enviado|Ok enviado|ok enviado|ok enviado
2021-02-04|Light|83|@Ordem_Publica @comlurbcomunica @lightclientes @CedaeRJ @Prefeitura_Rio @PMERJ Estão faltando fiscalizações as solicitações que estão sem resolução. Desde o dia 21 de janeiro tem um carro estacionado em frente ao meu portão de garagem, já fiz 15 (quinze) solicitações através da @Central_1746 pra @GMRio e sequer tive a visita de um guarda municipal. Absurdo|Estão faltando fiscalizações as solicitações que estão sem resolução. Desde o dia 21 de janeiro tem um carro estacionado em frente ao meu portão de garagem, já fiz 15 (quinze) solicitações através da pra e sequer tive a visita de um guarda municipal. Absurdo|faltando fiscalizações solicitações resolução dia janeiro carro estacionado frente portão garagem fiz quinze solicitações através sequer visita guarda municipal absurdo|faltando fiscalizações solicitações resolução dia janeiro carro estacionado frente portão garagem fiz quinze solicitações através sequer visita guarda municipal absurdo
2021-02-04|Light|84|@lightclientes eu odeio vocês cortando a luz dos outros, vai tomar no cu porra|eu odeio vocês cortando a luz dos outros, vai tomar no cu porra|odeio cortando luz tomar cu porra|odeio cortando luz tomar cu porra
2021-02-04|Light|85|sem luz em casa é foda iae da @lightclientes vamo ve em|sem luz em casa é foda iae da vamo ve em|luz casa foda vamo|luz casa foda vamo
2021-02-04|Light|86|@lightclientes @ProconRJ Feito!|Feito!|feito|feito
2021-02-04|Light|87|@lightclientes @ReclameAQUI Moro na R. Silvia Pozzano, Recreio . TODO DIA FALTA LUZ AQUI. Qual é o problema afinal? Poderiam explicar, por favor? É na Rua? No Condominio, No Mundo?! Todo dia é isso, duas ou três vezes!!!|Moro na R. Silvia Pozzano, Recreio . TODO DIA FALTA LUZ AQUI. Qual é o problema afinal? Poderiam explicar, por favor? É na Rua? No Condominio, No Mundo?! Todo dia é isso, duas ou três vezes!!!|moro r. pozzano recreio dia falta luz aqui problema afinal explicar favor rua condominio mundo dia vezes|moro r. pozzano recreio dia falta luz aqui problema afinal explicar favor rua condominio mundo dia vezes
2021-02-04|Light|88|@Juhcancio @lightclientes Delicia ne|Delicia ne|delicia|delicia
2021-02-04|Light|89|"@lightclientes #luz 0414670906

Sem energia elétrica desde às 6h30 da manhã...

@ProconRJ"|0414670906 Sem energia elétrica desde às 6h30 da manhã...|0414670906 energia elétrica 6h30 manhã|0414670906 energia elétrica 6h30 manhã
2021-02-04|Light|90|@lightclientes Não está sem luz, mas esta com oscilação e caindo e voltando frequentemente.|Não está sem luz, mas esta com oscilação e caindo e voltando frequentemente.|luz oscilação caindo voltando frequentemente|luz oscilação caindo voltando frequentemente
2021-02-04|Light|91|eae @lightclientes ta foda emmm|eae ta foda emmm|foda emmm|foda emmm
2021-02-04|Light|93|Esperei um pouco, liguei de novo e a luz caiu de novo. Desisti de vez né. E ainda assim a luz já caiu uma quarta vez. @lightclientes  e aí??????|Esperei um pouco, liguei de novo e a luz caiu de novo. Desisti de vez né. E ainda assim a luz já caiu uma quarta vez. e aí??????|esperei liguei novo luz caiu novo ainda assim luz caiu quarta vez aí|esperei liguei novo luz caiu novo ainda assim luz caiu quarta vez aí
2021-02-04|Light|94|@lightclientes ta de sacanagem aqui em Nova Iguaçu, né???? Toda hora a luz cai, vai acabar queimando algum aparelho.|ta de sacanagem aqui em Nova Iguaçu, né???? Toda hora a luz cai, vai acabar queimando algum aparelho.|sacanagem aqui hora luz cai queimando aparelho|sacanagem aqui hora luz cai queimando aparelho
2021-02-04|Light|95|@lightclientes @ProconRJ @celsorussomanno Relatarem essa conta, reembolso. Deem um jeito, porque eu não vou parar até vocês resolverem. Vou pra reclame aqui, Procon, justiça.... não vou aceitar isso|Relatarem essa conta, reembolso. Deem um jeito, porque eu não vou parar até vocês resolverem. Vou pra reclame aqui, Procon, justiça.... não vou aceitar isso|relatarem conta reembolso deem jeito parar resolverem vou reclame aqui justiça aceitar|relatarem conta reembolso deem jeito parar resolverem vou reclame aqui justiça aceitar
2021-02-04|Light|96|não tenho chuveiro elétrico, não uso secador de cabelo, não há fogão por indução, os 2 aparelhos de ar são split e só ligamos à noite. Portanto, peço análise do relógio para que possamos rever esse problema que está me custando muitíssimo caro. Fico no aguardo, @lightclientes|não tenho chuveiro elétrico, não uso secador de cabelo, não há fogão por indução, os 2 aparelhos de ar são split e só ligamos à noite. Portanto, peço análise do relógio para que possamos rever esse problema que está me custando muitíssimo caro. Fico no aguardo,|chuveiro elétrico uso secador cabelo fogão indução ar split ligamos noite portanto análise relógio possamos rever problema custando muitíssimo caro fico aguardo|chuveiro elétrico uso secador cabelo fogão indução ar split ligamos noite portanto análise relógio possamos rever problema custando muitíssimo caro fico aguardo
